fecha,valor
2024-01-01,100.99342830602247
2024-01-02,107.69178622233794
2024-01-03,111.34465619801962
2024-01-04,107.83489710399164
2024-01-05,95.79285585937775
2024-01-06,90.53244696428341
2024-01-07,96.24011080633449
2024-01-08,102.58486945830582
2024-01-09,108.0793660528104
2024-01-10,112.18439920899016
2024-01-11,104.91200200555066
2024-01-12,96.37970310168393
2024-01-13,92.53464542131383
2024-01-14,90.30512468600412
2024-01-15,98.65016433497392
2024-01-16,108.94373976619833
2024-01-17,110.12361688114939
2024-01-18,107.51733205636612
2024-01-19,96.545114457782
2024-01-20,90.27611347551118
2024-01-21,98.11298271316281
2024-01-22,102.69844739902692
2024-01-23,111.25337123405612
2024-01-24,110.34978274939132
2024-01-25,106.85007194212521
2024-01-26,99.63300778824416
2024-01-27,91.84873372333715
2024-01-28,96.98308121201104
2024-01-29,102.99872262016238
2024-01-30,111.58492732509373
2024-01-31,113.04586589735945
2024-02-01,112.69339376019347
2024-02-02,100.43416815934856
2024-02-03,93.08529902026997
2024-02-04,98.92677499952609
2024-02-05,102.80831270005794
2024-02-06,113.6360420146898
2024-02-07,111.37993887405868
2024-02-08,107.38246529337873
2024-02-09,101.90488508056266
2024-02-10,97.72765403817259
2024-02-11,98.67442173769965
2024-02-12,106.0687034352235
2024-02-13,113.66610743350171
2024-02-14,113.3922351410834
2024-02-15,109.64914897438618
2024-02-16,101.63988506690487
2024-02-17,99.4149653306196
2024-02-18,100.06892175445661
2024-02-19,103.82391968927452
2024-02-20,115.96648276346987
2024-02-21,116.62911456098561
2024-02-22,110.78499339056361
2024-02-23,104.83451518650618
2024-02-24,100.41271992317367
2024-02-25,102.29424541355208
2024-02-26,106.72156495355472
2024-02-27,115.74989007297785
2024-02-28,119.11180598462538
2024-02-29,115.13992764542031
2024-03-01,103.70281413313391
2024-03-02,99.02940292485414
2024-03-03,99.26901522730762
2024-03-04,107.05758675183863
2024-03-05,119.04336646946868
2024-03-06,122.21175917895988
2024-03-07,114.09481714801494
2024-03-08,107.71822840460848
2024-03-09,101.17399292827703
2024-03-10,101.24144566610943
2024-03-11,111.2227912110168
2024-03-12,121.54438795761223
2024-03-13,120.47762704359835
2024-03-14,118.4181247028037
2024-03-15,101.52167240064495
2024-03-16,103.14452588693223
2024-03-17,103.75577931179603
2024-03-18,110.9519852990683
2024-03-19,119.70183637775129
2024-03-20,117.62414129261644
2024-03-21,115.89949361550057
2024-03-22,108.52538775184802
2024-03-23,105.5065089676648
2024-03-24,103.59514473877243
2024-03-25,110.9830127942136
2024-03-26,119.56480073751125
2024-03-27,124.4800833572224
2024-03-28,118.04633961049504
2024-03-29,107.80164220129049
2024-03-30,104.62725574440846
2024-03-31,105.87584027401577
2024-04-01,115.58728998106568
2024-04-02,120.21420863692556
2024-04-03,123.04395482862273
2024-04-04,117.6546210849113
2024-04-05,106.98413271256015
2024-04-06,105.24296143231092
2024-04-07,107.2537957196794
2024-04-08,114.7102269132849
2024-04-09,122.19914055793001
2024-04-10,121.91853763771742
2024-04-11,118.64754674564483
2024-04-12,110.27573357577091
2024-04-13,104.09616633973855
2024-04-14,107.45911375198774
2024-04-15,116.5581017136291
2024-04-16,127.49068662710134
2024-04-17,126.14843474748194
2024-04-18,121.05393817262114
2024-04-19,111.86227077729217
2024-04-20,102.91317844758369
2024-04-21,108.7786574244213
2024-04-22,116.920460419882
2024-04-23,129.6947990496508
2024-04-24,126.464557192256
2024-04-25,122.19193207584279
2024-04-26,112.99173906941397
2024-04-27,105.46336480294269
2024-04-28,112.16733080434972
2024-04-29,119.35386606537342
2024-04-30,127.40037871876628
2024-05-01,126.08050421222876
2024-05-02,125.44442601304782
2024-05-03,111.30746048323996
2024-05-04,110.0244350657823
2024-05-05,115.31259642693959
2024-05-06,116.91892734973858
2024-05-07,125.73571936547476
2024-05-08,129.14858185199353
2024-05-09,122.68188608294328
2024-05-10,112.05983574669219
2024-05-11,110.03784682779381
2024-05-12,109.85707774786746
2024-05-13,120.89718486127039
2024-05-14,126.07946635621266
2024-05-15,133.09914793185334
2024-05-16,123.17233080650304
2024-05-17,115.56703957641304
2024-05-18,112.57775531292113
2024-05-19,110.5699565424517
2024-05-20,121.45491986920821
2024-05-21,131.58260033324507
2024-05-22,127.83431265269579
2024-05-23,126.15810510824016
2024-05-24,117.78092819732132
2024-05-25,113.56436662173641
2024-05-26,111.60778375356342
2024-05-27,119.40908677383146
2024-05-28,131.06219795591406
2024-05-29,132.69324846828462
2024-05-30,127.33982309186752
2024-05-31,119.00405902781836
2024-06-01,111.6906714350248
2024-06-02,115.59619256964164
2024-06-03,123.68614494659744
2024-06-04,129.63961198862756
2024-06-05,136.88082814410777
2024-06-06,128.83650323299926
2024-06-07,116.97855561441905
2024-06-08,115.41382809544942
2024-06-09,114.23232183486503
2024-06-10,125.72416920748478
2024-06-11,134.435505982695
2024-06-12,132.55791448511488
2024-06-13,130.8655896496643
2024-06-14,121.23672446269754
2024-06-15,116.79484119817073
2024-06-16,121.02527114062761
2024-06-17,124.7092237679942
2024-06-18,131.66084249596523
2024-06-19,133.47025026256716
2024-06-20,128.3572168212447
2024-06-21,121.30695918999626
2024-06-22,116.88302482781509
2024-06-23,118.8350667739796
2024-06-24,127.90436649807178
2024-06-25,134.2443186084359
2024-06-26,139.20634727613282
2024-06-27,130.50952372469962
2024-06-28,127.95150094200365
