fecha,valor_real,valor_predicho
2024-05-25,113.5643666217364,111.97200196402018
2024-05-26,111.60778375356342,114.80564135239153
2024-05-27,119.40908677383146,122.0758695771463
2024-05-28,131.06219795591406,129.10032079707236
2024-05-29,132.69324846828462,130.23100715538362
2024-05-30,127.33982309186752,128.19743174788442
2024-05-31,119.00405902781836,119.43263739948226
2024-06-01,111.6906714350248,112.78135687535625
2024-06-02,115.59619256964164,113.14580296384074
2024-06-03,123.68614494659744,122.1126296224394
2024-06-04,129.63961198862756,131.74682746677962
2024-06-05,136.88082814410777,133.4875451128853
2024-06-06,128.83650323299926,128.55363097732914
2024-06-07,116.97855561441904,119.97857701435
2024-06-08,115.41382809544942,113.62752160381366
2024-06-09,114.23232183486505,115.67364026904774
2024-06-10,125.72416920748478,124.18789586399296
2024-06-11,134.435505982695,133.20008949683557
2024-06-12,132.55791448511488,136.1305316743909
2024-06-13,130.8655896496643,129.01522522583764
2024-06-14,121.23672446269754,119.24506408784089
2024-06-15,116.79484119817072,115.57283435334041
2024-06-16,121.0252711406276,118.12495636012046
2024-06-17,124.7092237679942,127.01604689948734
2024-06-18,131.66084249596523,133.996066547684
2024-06-19,133.47025026256716,134.03372142343176
2024-06-20,128.3572168212447,129.81265006257541
2024-06-21,121.30695918999626,122.55877208696556
2024-06-22,116.88302482781508,118.4071963802233
2024-06-23,118.8350667739796,120.47803025004089
2024-06-24,127.90436649807178,125.92912245170994
2024-06-25,134.2443186084359,133.0528627540274
2024-06-26,139.20634727613282,134.76524857204618
2024-06-27,130.50952372469962,130.69882966585936
2024-06-28,127.95150094200363,122.62197965734744
